paper_id,models,link,title,year
947,POPREC;GRU4REC;CASER;HGN;REPEATNET;CLEA;SASREC;SRGNN;GCSAN;PMLPREC,https://arxiv.org/pdf/2202.13556,Filter-enhanced MLP is All You Need for Sequential Recommendation,2022
949,POP;BPRMF;ITEMKNN;SASREC;SSEPT;FISSA;BERT4REC;S3REC;MRTRANSFORMER,https://arxiv.org/pdf/2106.12120,Improving Transformer-based Sequential Recommenders through Preference Editing,2021
950,ITEMKNN;FPMC;NEXTITNET;NARM;FGNN;SRGNN;GCSAN;GCEGNN;LESSR;DGLSR,https://www.mdpi.com/2227-7390/9/12/1420/pdf,Dynamic Graph Learning for Session-Based Recommendation,2021
952,BPR;SASREC;IMPROVEDGRU4REC;GRU4REC;NARM;HARM,https://www.hindawi.com/journals/sp/2022/7763726/,Design of a Music Recommendation Model on the Basis of Multilayer Attention Representation,2022
953,POP;SPOP;ITEMKNN;BPRMF;FPMC;GRU4REC;NARM;STAMP;REPEATNET;SRGNN;GCSAN;KSTT,https://arxiv.org/pdf/2112.08745,Knowledge-enhanced Session-based Recommendation with Temporal Transformer,2021
954,USERITEMPOP;BILSTM;TRANSFORMER;REPEATNET;TRANSV,https://dl.acm.org/doi/pdf/10.1145/3397271.3401164,Web-to-Voice Transfer for Product Recommendation on Voice,2020
955,GRU4REC;NARM;REPEATNET;CSRM;SRGNN;GCSAN;TAGNN;LESSR,https://arxiv.org/pdf/2107.01516,Introducing Self-Attention to Target Attentive Graph Neural Networks,2022
956,LSTM;TISASREC;JODIE;LATENTCROSS,https://arxiv.org/pdf/2201.12686,Rank List Sensitivity of Recommender Systems to Interaction Perturbations,2022
957,AUTOINT;GRU4REC;CASER;SASREC;BERT4REC;HGN;FDSA;S3REC;REFRS,https://arxiv.org/pdf/2207.13897,ReFRS: Resource-efficient Federated Recommender System for Dynamic and Diversified User Preferences,2022
958,POPREC;CASER;GRU4REC;BERT4REC;SASREC;SMREC;RETR,https://arxiv.org/pdf/2206.06804,Recommender Transformers with Behavior Pathways,2022
959,BERT4LOC;MULTVAE;BERT4REC;REPEATNET;SASRECF;ENMF,https://arxiv.org/pdf/2208.01375,BERT4Loc: BERT for Location - POI Recommender System,2022
960,AR;SR;SKNN;VSKNN;STAN;VSTAN;NARM;GRU4REC;REPEATNET;SLIST;PROXYSR;RECENTNOVEL;NOVELNET,https://arxiv.org/pdf/2209.01963,Modeling User Repeat Consumption Behavior for Online Novel Recommendation,2022
961,NARM;SRGNN;NISER;SGNNHN;LESSR;GCEGNN;DATMDI;TISASREC;TGSREC;TMIGNN;GNGODE,https://arxiv.org/pdf/2206.12779,Evolutionary Preference Learning via Graph Nested GRU ODE for Session-based Recommendation,2022
962,TIMELSTM;RRN;CTDNE;JODIE;DGNN;MRATE,https://arxiv.org/pdf/2110.04503,Multi-Relation Aware Temporal Interaction Network Embedding,2021
963,PPOP;GPPOP;TIFUKNN;UPCFR;DNNTSP;RECANET,https://irlab.science.uva.nl/wp-content/papercite-data/pdf/ariannezhad-2022-recanet.pdf,ReCANet: A Repeat Consumption-Aware Neural Network for Next Basket Recommendation in Grocery Shopping,2022
964,TRANSE;DISTMULT;COMPLEX;CONVE;ROTATE;RGCN;COMPGCN;TTRANSE;HYTE;TADISTMULT;RENET;CYGNET;SEDYTCONV;HIPNETWORK;HYPERVC,https://arxiv.org/pdf/2209.05635,Bending the Future: Autoregressive Modeling of Temporal Knowledge Graphs in Curvature-Variable Hyperbolic Spaces,2022
965,POP;SPOP;BPRMF;FPMC;ITEMKNN;GRU4REC;NARM;STAMP;CSRM;SRGNN;GCSAN;PEN4REC,https://arxiv.org/pdf/2106.09306,PEN4Rec: Preference Evolution Networks for Session-based Recommendation,2021
966,TREC;MUTREC;TREC;METREC;M2TREC;STAMP;GRU4REC;NARM,https://arxiv.org/pdf/2209.11824,M2TRec: Metadata-aware Multi-task Transformer for Large-scale and Cold-start free Session-based Recommendations,2022
967,GRU4REC;NARM;SRGNN;LESSR;STARGNN;DAGCN,https://arxiv.org/pdf/2112.15352,Intention Adaptive Graph Neural Network for Category-aware Session-based Recommendation,2022
968,RANDOM;GLOBAL;PERSONAL;MIXTURE;MIXTURETW;ADALOYAL;NMF;BPRMF;WRMF;LDA;FPMC;SASREC,https://www.researchsquare.com/article/rs-1839468/latest.pdf,Non-binary Evaluation of Next-basket Food Recommendation,2022
